country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
India,CO,,"Vasanthapuram, Vellore - TNPCB",130.0,2022-10-27 03:00:00+00:00
India,CO,,"Chalai Bazaar, Ramanathapuram - TNPCB",380.0,2022-10-31 02:00:00+00:00
India,CO,,Nehru Nagar,2450.0,2018-02-22 03:15:00+00:00
India,CO,,"MD University, Rohtak - HSPCB",840.0,2020-01-01 11:00:00+00:00
India,CO,,"RIMT University, Mandi Gobindgarh - PPCB",660.0,2022-10-31 02:00:00+00:00
India,CO,,"GVM Corporation, Visakhapatnam - APPCB",460.0,2022-10-31 02:00:00+00:00
India,CO,,"R K Puram, New Delhi - DPCC",3000.0,2018-05-06 19:30:00+00:00
India,CO,,"Velachery Res. Area, Chennai - CPCB",940.0,2022-10-31 01:45:00+00:00
India,CO,,"Nehru Nagar, Delhi - DPCC",300.0,2022-10-31 00:45:00+00:00
India,CO,,"Narela, Delhi - DPCC",100.0,2022-10-31 00:45:00+00:00
India,CO,,"Samanpura, Patna - BSPCB",1280.0,2022-10-16 15:45:00+00:00
India,CO,,"Chhoti Gwaltoli, Indore - MPPCB",2270.0,2022-10-16 16:00:00+00:00
India,CO,,"Bhosari, Pune - IITM",2350.0,2022-07-07 04:45:00+00:00
India,CO,,"Pan Bazaar, Guwahati - PCBA",930.0,2022-10-16 16:00:00+00:00
India,CO,,"Jawahar Nagar, Puducherry - PPCC",410.0,2022-10-16 16:00:00+00:00
India,CO,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",370.0,2022-10-16 15:45:00+00:00
India,CO,,"DRCC Anandpur, Begusarai - BSPCB",540.0,2022-10-31 01:45:00+00:00
India,CO,,"Belur Math, Howrah - WBPCB",0.0,2022-10-31 01:45:00+00:00
India,CO,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",830.0,2022-10-31 01:45:00+00:00
India,CO,,"Borivali East, Mumbai - MPCB",1070.0,2022-10-31 02:00:00+00:00
India,CO,,"DRM Office Danapur, Patna - BSPCB",1500.0,2022-10-16 16:00:00+00:00
India,CO,,"GIDC, Nandesari - Nandesari Ind. Association",1000.0,2022-10-16 10:15:00+00:00
India,CO,,"Collectorate, Gaya - BSPCB",1370.0,2022-10-31 02:00:00+00:00
India,CO,,"Mandir Marg, New Delhi - DPCC",400.0,2018-05-10 07:30:00+00:00
India,CO,,"Tirumala, Tirupati - APPCB",940.0,2022-10-31 02:00:00+00:00
India,CO,,"Major Dhyan Chand National Stadium, Delhi - DPCC",1800.0,2018-05-12 04:30:00+00:00
India,CO,,"Nehru Nagar, Delhi - DPCC",1200.0,2018-05-12 06:00:00+00:00
India,CO,,"IHBAS, Dilshad Garden, Delhi - CPCB",1750.0,2022-10-31 01:45:00+00:00
India,CO,,"Alandi, Pune - IITM",1170.0,2022-07-21 04:45:00+00:00
India,CO,,"IESD Banaras Hindu University, Varanasi - UPPCB",540.0,2022-10-16 15:45:00+00:00
India,CO,,"Nagla Bhau, Firozabad - UPPCB",1740.0,2022-10-31 02:00:00+00:00
India,CO,,"Patti Mehar, Ambala - HSPCB",1230.0,2022-10-31 01:45:00+00:00
India,CO,,"Jayanagar 5th Block, Bengaluru - KSPCB",0.66,2022-10-31 02:00:00+00:00
India,CO,,"Khadakpada, Kalyan - MPCB",1280.0,2022-10-31 01:45:00+00:00
India,CO,,"Okhla Phase-2, Delhi - DPCC",3000.0,2022-10-31 00:45:00+00:00
India,CO,,"Lalbagh, DN Park",1190.0,2018-02-22 04:00:00+00:00
India,CO,,"Sanjay Palace, Agra - UPPCB",840.0,2022-10-31 02:00:00+00:00
India,CO,,Central School,1350.0,2018-02-22 04:00:00+00:00
India,CO,,"Alandur Bus Depot, Chennai - CPCB",4310.0,2022-10-31 01:45:00+00:00
India,CO,,"Gole Bazar, Katni - MPPCB",700.0,2022-10-16 16:00:00+00:00
India,CO,,"Industrial Area, Hajipur - BSPCB",1000.0,2022-10-16 16:00:00+00:00
India,CO,,"Buddha Colony, Muzaffarpur - BSPCB",930.0,2022-10-16 15:30:00+00:00
India,CO,,"Rishi Nagar, Kaithal - HSPCB",2040.0,2022-10-31 02:00:00+00:00
India,CO,,"Manoharpur, Agra - UPPCB",870.0,2022-10-31 02:00:00+00:00
India,CO,,"Mariam Nagar, Purnia - BSPCB",1690.0,2022-10-31 01:45:00+00:00
India,CO,,"IITH Kandi, Hyderabad - TSPCB",750.0,2022-10-31 02:00:00+00:00
India,CO,,"Ramteerth Nagar, Belgaum - KSPCB",930.0,2022-10-31 01:45:00+00:00
India,CO,,"Collectorate, Jodhpur - RSPCB",590.0,2022-10-31 01:45:00+00:00
India,CO,,"IGSC Planetarium Complex, Patna - BSPCB",500.0,2022-10-31 02:00:00+00:00
India,CO,,"Anand Vihar, Hapur - UPPCB",0.0,2022-10-16 16:00:00+00:00
India,CO,,"Ghusuri, Howrah - WBPCB",530.0,2022-10-16 15:45:00+00:00
India,CO,,"T T Nagar, Bhopal - MPPCB",3530.0,2022-10-16 16:00:00+00:00
India,CO,,"Naubad, Bidar - KSPCB",4630.0,2022-10-16 10:15:00+00:00
India,CO,,"Civic Center, Bhilai - Bhilai Steel Plant",0.0,2022-10-12 18:15:00+00:00
India,CO,,"Police Lines, Jind - HSPCB",1450.0,2022-10-31 01:45:00+00:00
India,CO,,"Nathu Colony, Ballabgarh - HSPCB",3830.0,2022-10-31 01:45:00+00:00
India,CO,,"New Collectorate, Baghpat - UPPCB",2130.0,2022-01-31 04:45:00+00:00
India,CO,,"Hebbal, Bengaluru - KSPCB",610.0,2022-10-31 02:00:00+00:00
India,CO,,"Solapur, Solapur - MPCB",1780.0,2022-10-31 02:00:00+00:00
